Judul,judul_proc
PERAMALAN JUMLAH KUNJUNGAN WISATAWAN MANCANEGARA KE PROVINSI SUMATERA UTARA MENGGUNAKAN MODEL SARIMA DENGAN ANALISIS INTERVENSI FUNGSI STEP,amal jumlah kunjung wisatawan mancanegara provinsi sumatera utara guna model sarima analisis intervensi fungsi step
ANALISIS SENTIMEN MASYARAKAT TERHADAP PEMINDAHAN IBU KOTA NEGARA DI INDONESIA PADA KOMENTAR VIDEO YOUTUBE MENGGUNAKAN WORD2VEC EMBEDDINGS DAN HYBRID CNN-LSTM ,analisis sentimen masyarakat pindah ibu kota negara indonesia komentar video youtube guna word vec embeddings hybrid cnn lstm
MODEL PREDIKSI HARGA BERAS DI KOTA BANDAR LAMPUNG MENGGUNAKAN METODE LONG SHORT-TERM MEMORY (LSTM) ,model prediksi harga beras kota bandar lampung guna metode long short term memory lstm
ANALISIS SAHAM PT ANEKA TAMBANG DENGAN METODE LONG SHORT TERM MEMORY DAN AUTOREGRESSIVE INTEGRATED MOVING AVERAGE DALAM MEMPREDIKSI PERGERAKAN TREN ,analisis saham pt aneka tambang metode long short term memory autoregressive integrated moving average prediksi gera tren
DETEKSI KANTUK PENGENDARA MOBIL MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK (CNN) ,deteksi kantuk kendara mobil guna convolutional neural network cnn
EVALUASI PEFROMA HADOOP DAN SPARK PADA DIGITALOCEAN MENGGUNAKAN HIBENCH DALAM KONFIGURASI PSEUDO DISTRIBUTED ,evaluasi pefroma hadoop spark digitalocean guna hibench konfigurasi pseudo distributed
DETEKSI TINGKAT KEPARAHAN RETINOPATI DIABETIK PADA PENDERITA DIABETES MELLITUS MENGGUNAKAN TRANSFORMASI WAVELET HAAR DAN CONVOLUTIONAL NEURAL NETWORKS (CNN),deteksi tingkat parah retinopati diabetik derita diabetes mellitus guna transformasi wavelet haar convolutional neural networks cnn
PREDIKSI STRUKTUR SEKUNDER PROTEIN MENGGUNAKAN CONVOLUTIONAL NEURAL NETWORK (CNN) YANG DIOPTIMASI DENGAN ALGORITMA PARTICLE SWARM (PSO),prediksi struktur sekunder protein guna convolutional neural network cnn dioptimasi algoritma particle swarm pso
ANALISIS TUTUPAN LAHAN MENGGUNAKAN METODE KLASIFIKASI RANDOM FOREST DAN NORMALIZES DIFFERENCE VEGETATION INDEX (STUDI KASUS: KECAMATAN LIMA KAUM TAHUN 2016 DAN 2022),analisis tutup lahan guna metode klasifikasi random forest normalizes difference vegetation index studi kasus camat lima kaum tahun
PERBANDINGAN AKURASI PEMBOBOTAN TF-IDF DAN N-GRAM MENGGUNAKAN METODE NAIVE BAYES DALAM MENGANALISIS SENTIMEN TERHADAP APLIKASI INVESTASI AJAIB BERDASARKAN ULASAN PLAY STORE ,banding akurasi bobot tf idf gram guna metode naive bayes analis sentimen aplikasi investasi ajaib dasar ulas play store
